Day,A,B,C
"""Palm Sunday A,B,C""",Psalm 31:9-16,Psalm 31:9-16,Psalm 31:9-16
Advent 1,Psalm 122;Isaiah 2:1-5;Matthew 24:36-44;Romans 13:11-14,"Psalm 80:1-7,16-18;Isaiah 64:1-9;Mark 13:24-37;1 Corinthians 1:3-9",Psalm 25:1-9;Jeremiah 33:14-16;Luke 21:25-36;1 Thessalonians 3:9-13
Advent 2,"Psalm 72:1-7,18-19;Isaiah 11:1-10;Matthew 3:1-12;Romans 15:4-13","Psalm 85:1-2,8-13;Isaiah 40:1-11;Mark 1:1-8;2 Peter 3:8-15a",Malachi 3:1-4;Baruch 5:1-9;Luke 3:1-6;Philippians 1:3-11;Canticle 4;Canticle 16
Advent 3,Psalm 146:4-9;Isaiah 35:1-10;Matthew 11:2-11;James 5:7-10;Canticle 3;Canticle 15,"Psalm 126;Isaiah 61:1-4,8-11;John 1:6-8,19-28;1 Thessalonians 5:16-24;Canticle 3;Canticle 15",Zephaniah 3:14-20;Luke 3:7-18;Philippians 4:4-7;Canticle 9
Advent 4,"Psalm 80:1-7,16-18;Isaiah 7:10-16;Matthew 1:18-25;Romans 1:1-7","2 Samuel 7:1-11,16;Psalm 89:1-4,19-26;Luke 1:26-38;Romans 16:25-27;Canticle 3;Canticle 15","Psalm 80:1-7;Micah 5:2-5a;Luke 1:39-45,(46-55);Hebrews 10:5-10;Canticle 3;Canticle 15"
"""Christmas 2A,B,C""",Luke 2:41-52,Luke 2:41-52,Luke 2:41-52
"""Christmas Day I A,B,C""","Luke 2:1-14,(15-20)","Luke 2:1-14,(15-20)","Luke 2:1-14,(15-20)"
"""Christmas Day II A,B,C""","Luke 2:(1-7),8-20","Luke 2:(1-7),8-20","Luke 2:(1-7),8-20"
Christmas 1,Psalm 147;Isaiah 61:10—62:3;John 1:1-18;Galatians 3:23-25; 4:4-7,Psalm 147;Isaiah 61:10—62:3;John 1:1-18;Galatians 3:23-25; 4:4-7,Psalm 147;Isaiah 61:10—62:3;John 1:1-18;Galatians 3:23-25; 4:4-7
Christmas 2,"Jeremiah 31:7-14;Matthew 2:1-12;Matthew 2:13-15,19-23;Ephesians 1:3-6; 15-19a","Jeremiah 31:7-14;Matthew 2:1-12;Matthew 2:13-15,19-23;Ephesians 1:3-6; 15-19a","Jeremiah 31:7-14;Matthew 2:1-12;Matthew 2:13-15,19-23;Ephesians 1:3-6; 15-19a"
Christmas Day I,Psalm 96;Isaiah 9:2-7;Titus 2:11-14,Psalm 96;Isaiah 9:2-7;Titus 2:11-14,Psalm 96;Isaiah 9:2-7;Titus 2:11-14
Christmas Day II,Psalm 97;Isaiah 62:6-12;Titus 3:4-7,Psalm 97;Isaiah 62:6-12;Titus 3:4-7,Psalm 97;Isaiah 62:6-12;Titus 3:4-7
Christmas Day III,"Psalm 98;Isaiah 52:7-10;John 1:1-14;Hebrews 1:1-4,(5-12)","Psalm 98;Isaiah 52:7-10;John 1:1-14;Hebrews 1:1-4,(5-12)","Psalm 98;Isaiah 52:7-10;John 1:1-14;Hebrews 1:1-4,(5-12)"
The Epiphany,"Psalm 72:1-7,10-14;Isaiah 60:1-6;Matthew 2:1-12;Ephesians 3:1-12","Psalm 72:1-7,10-14;Isaiah 60:1-6;Matthew 2:1-12;Ephesians 3:1-12","Psalm 72:1-7,10-14;Isaiah 60:1-6;Matthew 2:1-12;Ephesians 3:1-12"
Epiphany 1,Psalm 29;Isaiah 42:1-9;Matthew 3:13-17;Acts 10:34-43,Genesis 1:1-5;Psalm 29;Mark 1:4-11;Acts 19:1-7,"Psalm 29;Isaiah 43:1-7;Luke 3:15-17,21-22;Acts 8:14-17"
Epiphany 2,Psalm 40:1-12;Isaiah 49:1-7;John 1:29-42;1 Corinthians 1:1-9,"1 Samuel 3:1-10,(11-20);Psalm 139:1-5,12-17;John 1:43-51;1 Corinthians 6:12-20",Psalm 36:5-10;Isaiah 62:1-5;John 2:1-11;1 Corinthians 12:1-11
Epiphany 3,"Psalm 27:1,5-13;Isaiah 9:1-4;Matthew 4:12-23;1 Corinthians 1:10-18","Psalm 62:6-14;Jonah 3:1-5,10;Mark 1:14-20;1 Corinthians 7:29-31","Nehemiah 8:1-3,5-6,8-10;Psalm 19;Luke 4:14-21;1 Corinthians 12:12-31a"
Epiphany 4,Psalm 15;Micah 6:1-8;Matthew 5:1-12;1 Corinthians 1:18-31,Deuteronomy 18:15-20;Psalm 111;Mark 1:21-28;1 Corinthians 8:1-13,Psalm 71:1-6;Jeremiah 1:4-10;Luke 4:21-30;1 Corinthians 13:1-13
Epiphany 5,Psalm 112:1-9(10);Isaiah 58:1-9a(9b-12);Matthew 5:13-20;1 Corinthians 2:1-12(13-16),"Psalm 147:1-12,21c;Isaiah 40:21-31;Mark 1:29-39;1 Corinthians 9:16-23","Psalm 138;Isaiah 6:1-8,(9-13);Luke 5:1-11;1 Corinthians 15:1-11"
Last Epiphany,Exodus 24:12-18;Psalm 2;Psalm 99;Matthew 17:1-9;2 Peter 1:16-21,2 Kings 2:1-12;Psalm 50:1-6;Mark 9:2-9;2 Corinthians 4:3-6,"Exodus 34:29-35;Psalm 99;Luke 9:28-36,(37-43a);2 Corinthians 3:12—4:2"
Epiphany 6A / Proper 1,Deuteronomy 30:15-20;Psalm 119:1-8;Sirach (Ecclesiasticus) 15:15-20;Matthew 5:21-37;1 Corinthians 3:1-9,,
Epiphany 6B / Proper 1,,2 Kings 5:1-14;Psalm 30;Mark 1:40-45;1 Corinthians 9:24-27,
Epiphany 6C / Proper 1,,,Psalm 1;Jeremiah 17:5-10;Luke 6:17-26;1 Corinthians 15:12-20
Epiphany 7A / Proper 2,"Leviticus 19:1-2,9-18;Psalm 119:33-40;Matthew 5:38-48;1 Corinthians 3:10-11,16-23",,
Epiphany 7B / Proper 2,,Psalm 41;Isaiah 43:18-25;Mark 2:1-12;2 Corinthians 1:18-22,
Epiphany 7C / Proper 2,,,"Genesis 45:3-11,15;Psalm 37:1-12,41-42;Luke 6:27-38;1 Corinthians 15:35-38,42-50"
Epiphany 8A / Proper 3,Psalm 131;Isaiah 49:8-16a;Matthew 6:24-34;1 Corinthians 4:1-5,,
